,incumbent,elected,name,party,party_color,timeplace,year,city,date
0,1,0,Scott Morrison,Liberal,blue,"Delivered at Brisbane , May 15th, 2022",2022,Brisbane,2022-05-15
1,0,1,Anthony Albanese,Labor,blue,"Delivered at Perth , May 1st, 2022",2022,Perth,2022-05-01
2,1,1,Scott Morrison,Liberal,blue,"Delivered at Melbourne, May 12th, 2019",2019,Melbourne,2019-05-12
3,0,0,Bill Shorten,Labor,red,"Delivered at Brisbane, May 5th, 2019",2019,Brisbane,2019-05-05
4,1,1,Malcolm Turnbull,Liberal,blue,"Delivered at Sydney, June 26th, 2016",2016,Sydney,2016-06-26
5,0,0,Bill Shorten,Australian Labor,red,"Delivered at Sydney, June 19th, 2016",2016,Sydney,2016-06-19
6,1,0,Kevin Rudd,Australian Labor,red,"Delivered at Brisbane, Qld, September 1st, 2013",2013,Brisbane,2013-09-01
7,0,1,Tony Abbott,Liberal National coalition,blue,"Delivered at Brisbane, Qld, August 25th, 2013",2013,Brisbane,2013-08-25
8,1,1,Julia Gillard,Australian Labor,red,"Delivered at Brisbane, Qld, August 16th, 2010",2010,Brisbane,2010-08-16
9,0,0,Tony Abbott,Liberal National coalition,blue,"Delivered at Brisbane, Qld, August 8th, 2010",2010,Brisbane,2010-08-08
10,1,0,John Howard,Liberal National coalition,blue,"Delivered at Brisbane, Qld, November 12th, 2007",2007,Brisbane,2007-11-12
11,0,1,Kevin Rudd,Australian Labor,red,"Delivered at Brisbane, Qld, November 14th, 2007",2007,Brisbane,2007-11-14
12,1,1,John Howard,Liberal National coalition,blue,"Delivered at Brisbane, Qld, September 26th, 2004",2004,Brisbane,2004-09-26
13,0,0,Mark Latham,Australian Labor,red,"Delivered at Brisbane, Qld, September 29th, 2004",2004,Brisbane,2004-09-29
14,1,1,John Howard,Liberal National coalition,blue,"Delivered at Sydney, NSW, October 28th, 2001",2001,Sydney,2001-10-28
15,0,0,Kim Beazley,Australian Labor,red,"Delivered at Sydney, NSW, October 31st, 2001",2001,Sydney,2001-10-31
16,1,1,John Howard,Liberal National coalition,blue,"Delivered at Parramatta, NSW, September 20th, 1998",1998,Parramatta,1998-09-20
17,0,0,Kim Beazley,Australian Labor,red,"Delivered at Brisbane, Qld, September 23rd, 1998",1998,Brisbane,1998-09-23
